#Q424857	ōaza	subdivision of a village or town in Japan
#Q133997481		
#Q1019982	subdivision of Rome	administrative, urbanistic and historic or toponomastic subdivisions
#Q16725943	township-level division	fourth level administrative divisions of the People's Republic of China
Q750277	administrative territorial entity of Latvia	current administrative units of Latvia
Q5195043	borough	administrative division in various countries
Q253326	cadastral municipality	Central European type of municipality
#Q1162835	district of Hungary	second-level administrative subdivision of Hungary
#Q3624078	sovereign state	state that has the highest authority over a territory
#Q902814	border city	town or city on a border between larger political areas
#Q17198545	township of Illinois	civil township subdivision of most Illinois counties
#Q572975	opština	administrative subdivision in Slavic countries roughly equivalent to a municipality
Q10374501	administrative territorial entity of Bulgaria	administrative subdivisions in Bulgaria
Q13226383	facility	place, equipment, or service to support a specific function
#Q13410428	county of Georgia	subdivision of the state of Georgia, United States
#Q705296	district of Taiwan	type of administrative division in Taiwan
Q1761572	barrio	neighborhood or district in Spain and in several Latin American countries
Q1188782	county-equivalent	U.S. federal government terminology for a non-county jurisdiction similar to a county
Q41176	building	structure, typically with a roof and walls, standing more or less permanently in one place
#Q770948	okres	Czech and Slovak designation for an administrative territorial entity
Q12569864	economic entity	one of the assumptions made in generally accepted accounting principles
Q1415187	economic agent	actor and decision maker in an economic model
#Q5341295	educational organization	body with an aim of education
#Q132759797		
Q13420330	provider	economic actor that provides goods or services to consumers
#Q2385804	educational institution	institution that provides education
Q2169973	service provider	organization that provides organizations with services
#Q2367508	township of Taiwan	administrative subdivision in Taiwan
#Q4946305	borough in the United States	administrative division at the local government level in the United States
#Q123680441	municipality of La Rioja	
Q7225124	administrative territorial entity of Wisconsin	political and government structures
#Q15978299	municipality with town privileges in the Czech Republic	municipality in the Czech Republic which has received town privileges
#Q79696253	subdivision of a neighborhood of Helsinki	
#Q15210668	lower-tier municipality	type of municipality in Ontario, Canada
Q47461344	written work	any work expressed in writing, such as inscriptions, manuscripts, documents or maps
Q14921981	administrative territorial entity of Belarus	political divisions of Belarus
Q7225125	political subdivison	portion of a country or other region delineated for the purpose of administration
#Q1906268	municipality of Bulgaria	administrative divisions of Bulgaria
Q269528	unincorporated area	region of land not governed by own local government
Q17379815	administrative territorial entity of Missouri	
#Q18810091	census division of Canada	second-level census geographic unit of Canada
#Q15127012	town in the United States	administrative division at the local government level in the United States
Q2311958	canton	type of administrative division of a country
#Q13410447	county of Kentucky	political subdivision of Kentucky, United States
Q3491994	subdistrict	low level administrative division of a country
Q110071045	unit of local government in Illinois	unit of local government in Illinois as designated by Article VII of the Constitution of the State of Illinois
#Q2043199	district of Belarus	second-level administrative territorial entity of Belarus
#Q17276937	ward of Madrid	
#Q10267336	neighborhood of Madrid	one of 131 administrative neighborhoods of Madrid, Spain
#Q15974307	Einheitsgemeinde of Germany	administrative unit of Germany
#Q1307779	integrated municipality	type of municipality in Germany, Austria and Switzerland
#Q61089180	municipal part of the Czech Republic	type of territorial administrative unit in Czechia
#Q11774149	county of Iowa	subdivision of Iowa, United States
Q3914	school	institution for the education of students by teachers
#Q13410520	county of Missouri	administrative territorial entity of Missouri, United States
#Q123433484	municipality in Alberta	
Q203323	administrative territorial entity of Ukraine	political divisions of Ukraine
Q1867183	local government area of Australia	areas governed by the third and lowest tier of government in Australia
#Q133997300		
Q685309	former municipality of Switzerland	type of municipality of Switzerland
#Q20871353	cadastral area in the Czech Republic	a technical unit in the Czech Republic, which consists of a topographically closed set of real estate
#Q13410444	county of Kansas	subdivision of Kansas, United States
Q192287	administrative divisions of Russia	common article for both administrative and municipal divisions, and also military, economic and federal districts
#Q986065	subdistrict	People's Republic of China township-level subdivision
Q30059	arrondissement	administrative division of certain Francophone countries and the Netherlands
#Q11086229	densely inhabited district	in Japanese census
Q12829	comarca	administrative division
Q47682	administrative territorial entity of New York	administrative divisions of New York State
Q171308	oblast	first-level administrative division in several countries
#Q11812346	county of Illinois	administrative subdivision of Illinois, United States
Q17379818	administrative territorial entity of North Carolina	
Q28692710	state territory	territory belonging to a state
#Q17201685	township of Indiana	
Q15045746	administrative territorial entity of Ghana	divisions of Ghana
#Q11643682	city planning area	term of city planning in Japan
#Q13414758	county of North Carolina	subdivision of North Carolina, United States
#Q11480694	urbanization promotion area	areas where urban areas have already formed and areas where urbanization should be implemented preferentially and in a well-planned manner within approximately the next 10 years
Q697379	administrative territorial entity of Romania	
#Q123095923	municipality of Cantabria	municipality of the autonomous community of Cantabria, Spain
Q19868903	administrative territorial entity of São Paulo State	
#Q18559008	district of São Paulo	
#Q1007114	administrative territorial entity of São Paulo City	
Q3685476	abolished municipality in Italy	former municipality in Italy
#Q194203	arrondissement of France	territorial subdivision of a department of France
Q17379821	administrative territorial entity of Nebraska	
#Q13414361	county of Nebraska	subdivision of Nebraska, United States
#Q35034452	locality of Berlin	part of a borough of Berlin without own administration
#Q13415366	county of Tennessee	subdivision of Tennessee, United States
#Q13410438	county of Indiana	subdivision of Indiana, United States
#Q6465	department of France	administrative subdivision in France
Q133250	sequence	ordered list of the same type of elements (finite or infinite)
#Q13415368	county of Virginia	subdivision of Virginia, United States
#Q13414759	county of Ohio	subdivision of Ohio, United States
Q7225123	administrative territorial entity of Virginia	
#Q386426	natural heritage	elements of biodiversity, including flora and fauna, ecosystems, fossils and geological structures
Q10594991	nature area	general name for all kinds of areas with striking features when it comes to flora, fauna, geological or landscape conditions, protected and not protected
Q4683534	administrative territorial entity of Michigan	human settlement in United States of America
#Q1131296	freguesia of Portugal	third level of administrative subdivision of Portugal
Q17379829	administrative territorial entity of Minnesota	
Q3917124	administrative territorial entity of Costa Rica	structure description
#Q2577184	parish of Latvia	administrative division in Latvia
Q1806767	departamento	Spanish-language country subdivision term
Q687121	Volost	historical East Slavic administrative territorial division
#Q12262532	county of Minnesota	subdivision of Minnesota, United States
#Q473972	protected area	area which receives protection because of its recognized natural or cultural values
Q264441	Bezirk	district in Germany, Austria and Switzerland
#Q1345234	comarca of Spain	administrative, natural, traditional or historic subdivision of provinces or autonomous communities in Spain
#Q13410496	county of Michigan	subdivision of Michigan, United States
#Q545769	district of Ghana	administrative division of Ghana
#Q13410508	county of Mississippi	subdivision of Mississippi, United States
#Q27676416	city or town	type of local municipality in Quebec (Quebec doesn’t make the difference between city or town)
Q337060	perceptible physical object	entity that is physically perceptible
Q20719690	NUTS 2 statistical territorial entity	statistical territorial entity
Q17361351	administrative territorial entity of Arkansas	
#Q871419	district of Austria	administrative subdivision of Austria
Q106458883	state	title used for first-level administrative division in several countries
Q1485500	tangible good	physical asset which is the subject of trade or could come as an object of trade turnover into consideration
#Q953822	canton of Costa Rica	political subdivision of Costa Rica
Q17537576	creative work	artistic creation
#Q171809	county of England	administrative, geographical and political demarcation of England, United Kingdom
Q4683555	administrative territorial entity of South Africa	territorial subdivision of South Africa
Q1155268	politics of South Africa	political system of South Africa
#Q43263	federal subject of Russia	official constitutional top-level political division of Russia
#Q104841013	hromada	basic administrative division in Ukraine, similar to a municipality
Q2695008	administrative territorial entity of Luxembourg	
Q1798622	governorate	administrative division of a country that is headed by a governor
Q67770276	historic county	traditional geographical division, in particular in the United Kingdom and Ireland
#Q18551781	subdistrict	type of subdivision in Tallinn
Q67376938	historic county of the United Kingdom	traditional geographical division in the United Kingdom
#Q2911266	borough of New Jersey	type of subdivision of New Jersey in the USA
#Q1426035	local government area of Victoria	third-tier of government in Victoria, Australia
Q3976655	administrative territorial entity of Denmark	
#Q13414760	county of Oklahoma	subdivision of Oklahoma, United States
#Q204613	regional county municipality	county-like political entities in Quebec, Canada
#Q11774062	county of Arkansas	political subdivision of Arkansas, United States
#Q3345345	municipality of Latvia	administrative division in Latvia
#Q1764608	muhafazah	Arab-language territorial entity term
#Q15089	province of Italy	administrative district of Italy
Q843752	political divisions of Bosnia and Herzegovina	political divisions
#Q2264478	district of Slovakia	administrative unit in Slovakia
#Q548611	district of the Czech Republic	administrative division of the Czech Republic
#Q5055981	council of Asturies	Asturias municipality-equivalent subdivision, Spain
#Q2666845	municipality of South Africa	local government structure in South Africa
Q42848	data	information arranged for automatic processing
#Q12178928	county of Wisconsin	type of political division of Wisconsin, United States
#Q2177636	municipality of Denmark	type of administrative division in Denmark
Q107435521	record	physical or digital manifestation of recorded information
Q234460	text	object that can be "read" by reader; result of writing
Q184754	string	data type representing a finite sequence of encoded characters
Q173285	digital data	discrete, discontinuous representations of information or works, as contrasted with continuous, or analog signals which behave in a continuous manner, or represent information using a continuous function
Q111415237	physical public space	physical place for public use
#Q2706302	municipality of Bosnia and Herzegovina	third-level administrative divisions of Bosnia and Herzegovina
Q22065637	administrative subdivision of Puerto Rico	
#Q263639	municipality of Puerto Rico	district of Puerto Rico, each led by a mayor and divided into barrios; governed by the Autonomous Municipalities Act of 1991
Q28108	political system	system of politics and government
#Q2919801	municipality of Luxembourg	type of administrative division of Luxembourg
Q3435941	administrative territorial entity of Croatia	list of historical and current administrative divisions of Croatia
Q4115671	administrative territorial entity of Morocco	Subdivisions of Morocco
Q2271985	administrative territorial entity of Bangladesh	Bangladeshi administrative geography
#Q15663836	local administrative unit in Thailand	
#Q13414763	county of Pennsylvania	subdivision of Pennsylvania, United States
Q50202	administrative territorial entity of Vietnam	subdivisions of Vietnam
#Q13410400	county of Alabama	subdivision of Alabama, United States
Q100792256	identifying artifact	physical, digital, or notional artifact that carries information used for identification
#Q85482556	rural district of Bavaria	
#Q15219655	civil town of Wisconsin	administrative unit of Wisconsin
#Q12037308	county of South Dakota	type of political division of South Dakota, United States
#Q1995480	minor civil division	governmental divisions of U.S. counties, such as civil townships
Q853614	identifier	name that identifies either a unique object or a unique class of objects
#Q50198	province of Thailand	1st level administrative subdivisions of Thailand
#Q2755753	area of London	district of London, United Kingdom
#Q21011129	urban zone of Rome	
#Q13410403	county of Colorado	subdivision of Colorado, United States
Q19603939	building component	one of the elements that make up a building
#Q13410524	parish of Louisiana	county-equivalent subdivision of Louisiana, United States
Q1310239	component	self-contained constituent part of a larger technical entity such as an assembly of elements
#Q777120	borough of Pennsylvania	type of municipality in the U.S. state of Pennsylvania
#Q13410422	county of Florida	subdivision of Florida, United States
Q88392887	part of a work	part that a work consists of (use a more specific object if possible)
Q55412936	design element	fundamental observable component of a visual design or work of art
#Q15715406	neighbourhood of Helsinki	one of 59 in the Finnish capital
Q3955017	intermediate good	good used as input by a process of production
Q3177944	administrative territorial entity of Helsinki	neighbourhoods, districts, major districts and postal code areas
Q468756	shore	fringe of land at the edge of a large body of water
Q391414	architectural element	forms primarily as components of architecture
#Q2740635	Stadtbezirk	administrative units of German cities
#Q15830667	quarter of Hamburg	104 quarters of Hamburg within 7 boroughs
#Q2333944	statistical city district	
Q1851368	waterfront	dockland district, or area alongside a body of water
Q3840711	riverfront	spaces, land, or part of an urban area on the edge of a river
#Q3752524	gmina's auxiliary unit	local self-government community of inhabitants of a part of the municipality in Poland
Q174782	square	open public spaces in cities or towns, usually rectilinear, surrounded by buildings, and often located at the junction of two or more thoroughfares
#Q152732	district of Bangladesh	administrative subdivision (also called zila) of the South Asian country below the division level but above the subdistrict (upazila) level
Q18663566	dissolved municipality of Japan	former municipality in Japan
Q5571369	quarter of a city in Italy	territorial subdivision of certain Italian towns
#Q1434401	dzielnica	administrative subdivision or quarter of a city or town in Poland
#Q13414757	county of New York	subdivision of New York, United States
Q17343829	unincorporated community in the United States	settlement in the United States without its own local government, generally governed at county (or borough, parish) level, or as part of a municipal corporation
Q3356100	administrative territorial entity of Slovenia	
#Q328584	municipality of Slovenia	administrative territorial entity of Slovenia
Q19658107	neighborhood of Brazil	administrative subdivision of municipalities in Brazil
Q16837104	bairro	community or region within a Portuguese-speaking city or municipality
#Q1267632	raion of Ukraine	type of administrative territorial entity in Ukraine
Q1839674	lands inhabited by indigenous peoples	geographic territories occupied primarily by native or tribal peoples generally, whether formally recognized or not
Q6544379	lieutenancy area	separate areas of the United Kingdom appointed a lord-lieutenant
Q21074401	administrative territorial entity of California	
#Q13212489	county of California	subdivision of California, United States
Q3024240	historical country	country, state or territory that once existed
#Q240601	province of Algeria	type of administrative entity
#Q13414358	county of Montana	subdivision of Montana, United States
#Q1363145	municipality of Lithuania	second-level administrative division
Q772123	administrative territorial entity of Lithuania	administrative territorial entity of a single country
#Q3518810	unorganized area of Canada	geographic region in Canada not part of a municipality or Indian reserve
#Q109429530	provincial-level subdivision of Vietnam	top-level administrative divisions of Vietnam
#Q17376095	cadastral municipality of Austria	
#Q131822041	parish of New Brunswick	geographic subdivision of New Brunswick, Canada
#Q97312698	city district in Hannover, Germany	
#Q81066200	unorganized area in Quebec	territory out from a municipality
Q15063160	administrative territorial entity of New Zealand	
#Q55774719	township municipality in Ontario	type of municipality in Ontario
Q17379817	administrative territorial entity of North Dakota	
#Q12178655	county of North Dakota	type of administrative division in North Dakota, United States
Q15126920	administrative territorial entity of El Salvador	
#Q9316670	prefecture-level division	second level administrative divisions of the People's Republic of China
Q3042547	administrative territorial entity of Argentina	
Q1814009	administrative territorial entity of Albania	territorial subdivision of Albania
Q1134686	frazione	territorial subdivision of a comune in Italy
Q860290	province of Japan	former administrative units of Japan
#Q3976662	subdivision of Palermo	historic and administrative subdivision of the city of Palermo, Italy
Q107425	landscape	visible features of an area of land
#Q13415370	county of West Virginia	subdivision of West Virginia, United States
#Q9035798	township of Pennsylvania	type of municipality in the U.S. state of Pennsylvania
#Q748149	prefecture-level city	city or municipality of a Chinese province
#Q1500352	local municipality	third-level local government structure in South Africa
#Q24746	province of the Philippines	administrative division of the Philippines
Q4632675	dwelling place	type of human settlement
Q112865	administrative territorial entity of Mexico	territorial subdivision of Mexico
Q20826981	Rural community (local government)	political community in rural areas
#Q7841907	municipality with authorized municipal office	
Q175185	rural area	geographic area that is located outside towns and cities
Q47248051	Indigenous Area	administrative divisions in Taiwan with significant populations of indigenous peoples
Q7631083	administrative territorial entity of Uzbekistan	
Q2824644	administrative territorial entity of Colombia	
Q1497375	architectural ensemble	group of multiple related objects, such as buildings
#Q1080224	state electoral district	electoral district of the Australian states and territories
#Q61878		administrative division of the Philippines
#Q13414765	county of South Carolina	subdivision of South Carolina, United States
#Q768307	municipality of Albania	administrative division of Albania
#Q4005760	first-level unit of Palermo	administrative subdivision of Palermo, Italy
#Q683738	Subdivisions of Wales	subdivisions of Wales in the UK
#Q5356185	electoral district of South Australia	electorate for the South Australian House of Assembly
#Q2824648	province of Vietnam	type of administrative division in Vietnam
Q703941	private road	road owned and maintained by a private individual, organization, or company
#Q35657	U.S. state	constituent political entity of the United States of America
#Q106517174	Option municipality	
#Q2881272	district of New Zealand	district administered by a territorial authority in New Zealand
Q628179	trail	path with a rough beaten or dirt/stone surface used for travel
#Q180673	ceremonial county of England	collective name for areas, in England, to which a Lord Lieutenant is appointed
#Q475061	amphoe	administrative subdivision of Thailand
#Q162620	province of Spain	second-level type of administrative division of Spain
#Q100341898	market municipality of Germany	municipality with market privileges in Germany (may e.g. legally prepend "Markt" to its name)
Q159810	economy	area of the production, distribution and trade, as well as consumption of goods and services by different agents
Q37654	market	mechanisms whereby supply and demand confront each other and deals are made, involving places, processes and institutions in which exchanges occur (for physical venues, use Q132510 or Q330284)
#Q13410433	county of Idaho	subdivision of Idaho, United States
#Q3556889	municipality of El Salvador	administrative entity in El Salvador
#Q1852859	cadastral populated place in the Netherlands	officially designated place ("woonplaats") (city/town/village) in the Netherlands
#Q1776764	county	first level administrative division of Romania
#Q937876	comarca of Catalonia	groups of municipalities in Catalonia, Spain
Q28599747	education agency	government agency with an education portfolio
Q6663997	local education agency	local body with authority over education or schools (United States). In the UK, use Q6664350
Q398141	school district	special-purpose district for local public primary and secondary schools
Q183039	form of state	form which a state takes, such as monarchy or republic
#Q57058	municipality of Croatia	second-level administrative subdivision in Croatia
#Q17601336	district of the United Kingdom	type of administrative territorial entity of the United Kingdom
#Q5030865	provincial/territorial electoral district in Canada	
#Q2973938	electoral district of Canada	federal or provincial electoral district in Canada
#Q2973931	provincial electoral district of Quebec	
#Q735428	town of China	People's Republic of China township-level subdivision
#Q14762205	municipal district of Alberta	county of Alberta, Canada
#Q3575964	zone of Rome	subdivisions of the Rome metropolitan area
#Q17301072	district municipality of Lithuania	administrative territorial entity of Lithuania
Q515716	prefecture	administrative jurisdiction or subdivision in any of various countries
#Q659103	commune of Romania	lowest level of administrative division in Romania
#Q349084	district of England	level of subnational division of England used for the purposes of local government
Q3502438	administrative territorial entity of Guinea	geographical divisions of Guinea
Q110211119	former municipality of Latvia	abolished first-level administrative unit in Latvia
#Q54935504	city of Switzerland	city classified by Swiss government
#Q47481352	Lok Sabha constituency	electoral district for a seat in the lower house of the Parliament of India
Q467970	permanent establishment	fixed place of business
#Q13415369	county of Washington	subdivision of the state of Washington, United States of America
#Q5811416	district in Spain	
Q1138494	historic county of England	geographical designations for areas of England, based on historical traditions
Q5589178	regime	form of government or the set of rules, cultural or social norms, etc. that regulate the operation of a government or institution and its interactions with society
#Q662914	district in Switzerland	intermediate level of local government in some cantons of Switzerland, between municipality and canton. Depending on the canton, there may be one or several such layers with varying functions and names.
#Q50337	prefecture of Japan	first level subdivision of Japan
#Q20296613	protected area of Germany	protected areas defined by federal nature protection law of Germany
Q159334	secondary school	organization where secondary education is provided
#Q17268368	municipality of the Federation of Bosnia and Herzegovina	
#Q113414331	county-level division	third level administrative divisions of the People's Republic of China
Q18663579	former municipality of Norway	former administrative division of Norway
#Q835714	oblast of Russia	first-level administrative division of Russia
Q12731	dead end street	dead-end street with only one inlet/outlet
#Q15629582	province of Morocco	administrative territorial entity of Morocco
Q15273785	Belgian municipality with the title of city	honorary title for a municipality in Belgium that is awarded by Royal Decree
#Q702842	municipal arrondissement	territorial subdivision of some French communes
Q542797	administrative territorial entity of Moldova	
#Q4174776	village of Japan	local administrative unit in Japan
Q1365122	administrative territorial entity of Chile	
Q149566	middle school	school in which children attend between primary school and upper secondary school
Q4683538	administrative territorial entity of Niger	subdivision of Niger
Q3330995	administrative territorial entity of Nigeria	federation of thirty-six states and one Federal Capital Territory, divided into 774 Local Government Areas
#Q2616791	urban municipality	administrative division of Poland
#Q465842	state of Nigeria	federally recognized polity in the Federal Republic of Nigeria
Q135103495	former Belgian municipality	
#Q28480345	district of Vantaa	city district of Vantaa, Finland
Q28081313	municipality section	type of administrative division in Belgium and the Netherlands
#Q13414761	county of Oregon	subdivision of Oregon, United States
#Q13218690	town in Hungary	town or city with status 'város'
Q2785216	municipality section	former municipality in Belgium
#Q20738676	rural district of Baden-Württemberg	type of district
#Q3927245	quarter of Brescia	33 quarters
#Q2991484	county of Canada	
#Q13997861	partido of Buenos Aires Province	administrative territorial entity of Buenos Aires Province, Argentina
#Q6063891	partido	administrative subdivision in various countries
Q7270	republic	form of government where the head of state is elected
#Q85332736	district of Lower Saxony	
#Q13414755	county of New Mexico	subdivision of New Mexico, United States
#Q2631599	district of Uzbekistan	second-level administrative unit in Uzbekistan
#Q106071004	town of New York	form of local government in the state of New York, United States
Q2726038	administrative divisions of Iran	administrative subdivisions of Iran
#Q766277	comarque of the Valencian Community	first level of territorial demarcation formed by a group of municipalities in the Valencian Community
#Q12063697	neighborhood of Washington, D.C.	administrative unit of Washington, D.C.
#Q3389680	census place	U.S. Census bordered area of settlement
#Q1394653	prefecture of Guinea	
#Q104157	city of the Philippines	administrative division in the Philippines
#Q47320699	parish of Nicosia Municipality	
#Q605291	municipality of Niger	
#Q28538792		
Q17379825	administrative territorial entity of Utah	
Q13634881	passageway	passageway between two streets or buildings
#Q13415365	county of Utah	subdivision of Utah, United States
#Q1344695	province of Iran	national subdivision
#Q119608727	province-level division	first level administrative divisions of the People's Republic of China
Q17279557	administrative territorial entity of the Dominican Republic	
Q6664400	local government in New Jersey	Municipal and county governmenta in the US state
Q3249551	process	series of events which occur over an extended period of time
Q1914636	activity	series of actions done by an agent which results in an external change of state
Q1763527	constituent state	state that makes up a part of a larger political entity
Q1390618	statistical district	
#Q498162	census-designated place in the United States	statistical concentration of population defined by the United States Census Bureau
Q21146257	type	kind or variety of something
#Q913337	province of the Dominican Republic	first-level administrative divisions of the Dominican Republic
#Q46831	mountain range	geographic area containing several geologically related mountains
Q115820013	unit of speech	a speech consisting of one uninterrupted vowel sound which may or may not be flanked by one or more consonant sounds; uttered with a single impulse of the voice
Q115786086	form	any meaningful unit of speech such as word, phrase, sentence, morpheme or affix
Q115372263	word or phrase	sequence of one or more words
Q13582281	circoscrizione di decentramento comunale in Italy	administrative territorial entity of a larger city in Italy
Q3677901		
Q2944660	lexical item	basic unit of a language’s lexicon
Q789016	content word	word that name objects of reality and their qualities, e.g. living things, family members, natural phenomena, common actions, characteristics; mostly nouns (“dog”), lexical verbs (“eat”), adjectives (“happy”), and adverbs (“happily“)
Q651943	signifier	observable aspects of a sign, in semiotics
Q503992	nominal	word class consisting of pronouns, nouns, adjectives and numerals
#Q215655	department of Colombia	department, group of municipalities, in Colombia
Q82799	name	word or phrase used for identification
Q8171	word	smallest linguistic element that will be said in isolation with semantic or pragmatic content
Q125598382	independent continuant type	
Q125598210	immaterial entity type	
Q117023459	type of institution	Wikidata metaclass
Q104098715	territorial entity type	
Q104086571	first-order class	class whose instances are individuals and not classes
Q96251598	type of object	Wikidata metaclass of object, which could be concrete or abstract
Q23959932	fixed-order class	class whose instances are all either individuals or same-fixed-order classes
Q17197366	type of organization	type in a typology; form of social organization defined by the structure of the relationship between its members, or between other organizations
Q15617994	administrative territorial entity type	type of administrative divisions, usually used in several countries
#Q3927261	quarter of Naples	subdivision of Naples
#Q1077097	tambon	local governmental unit in Thailand below district
Q1414991	area	country subdivision
Q2133296	space	area within an architectural structure or vehicle with available space
Q470540	seat	location of a corporation organisation or local goverment's headquarters for legal purposes
Q461231	administrative territorial entity of Scotland	present or former administrative subdivision of Scotland
Q15645212	administrative territorial entity of Ecuador	
Q15044339	administrative territorial entity of Egypt	three-layer hierarchy below the governorate levels
#Q1155688	thesaban	local government type in Thailand
#Q131541	states and union territories of India	Indian national administrative subdivisions
#Q12479773	first-level administrative country subdivision in Indonesia	first-level administrative division in Indonesia, provinsi (province), special region (daerah khusus)
#Q1388464	regional municipality in Canada	Canadian form of government analogous to county
#Q5098	province of Indonesia	first-level subdivision of Indonesia
#Q14762300	single-tier municipality	type of municipality in Ontario, Canada
Q1160920	unitary authority	type of local government body that covers two levels of government
#Q20738811	rural district of North Rhine-Westphalia	
Q20528428	federative entity of Mexico	
#Q860582	community area in Chicago	statistical subdivisions of Chicago
#Q204910	governorate of Egypt	top tier of the country's jurisdiction hierarchy
#Q85796467	regional district in British Columbia	administrative subdivision in British Columbia, Canada
Q54935786	medium-sized district town	type of town or city in Germany which belongs to a district (Kreis) and has more 20,000 (NRW) or 25,000 (Brandenburg) inhabitants
Q18635222	location of an event	place (region, country, city, administrative subdivision, etc.) where event was or will be
#Q15149663	state of Mexico	federative entity of Mexico
#Q3502496	administrative territorial entity of Senegal	
#Q1074955	quartiere of Rome	subdivision of Rome
#Q209824	oblast of Bulgaria	first-level administrative subdivisions of Bulgaria
Q110415260	unitary authority area	local government area governed by a unitary authority
Q98929991	place	small area known by a geographical name
#Q27554593	dzielnica of Lublin	administrative subdivision or quarter of the city of Lublin in Poland
Q15620181	administrative territorial entity of Estonia	
#Q15068450	district of Moldova	
#Q7553685	municipal district of Bulgaria	
#Q7245071	principal area	sub-national area established for control by a principal council in local government in England and Wales
#Q2064521	constituency in the United Kingdom	various types of electoral area in the UK
#Q104717505		
#Q55687066	local government area of Tasmania	third-tier of government in Tasmania, Australia
Q7631058	administrative territorial entity of Malawi	
#Q1153408	province of Chile	second-level administrative division of Chile
Q628858	workplace	physical location where someone works
#Q253270	borough of Munich	
Q9842	primary school	school in which children receive primary or elementary education from the age of about five to twelve
#Q124364380	territorial community of Morocco	concept in the administrative system of Morocco
#Q17110751	municipality in Saskatchewan	
#Q1852752	community in Saskatchewan	
Q960648	point of interest	specific location that someone may find useful or interesting
#Q23058	canton of Switzerland	administrative divisions of the Swiss Confederation
Q17496379	city district in Austria	administrative units of Austrian cities
Q1306755	administrative centre	seat of regional administration or local government, or a county town, or the place where the central administration of a commune is located
#Q1058387	district of Malawi	administrative division of 2nd level
#Q261023	district of Vienna	the 23 districts of the Austrian capital city of Vienna
#Q5328061	special local public entity	entity as defined in Article 1-3 of Local Autonomy Act of Japan
#Q5327704	special ward of Japan	administrative division of Japan
#Q1350181	shire of Scotland	historic administrative and geographical division of Scotland
Q570116	tourist attraction	place of interest where tourists visit
#Q29925520		
#Q21451942	administrative territorial entity of Lower Saxony	
#Q20725872	Eastern Catholic eparchy	
Q20076236	state system	
#Q13218357	city of California	type of political division of California
#Q12443800	state of India	Indian national administrative subdivision
#Q1143175	administrative division of Iceland	
Q353344	countship	historical administrative division
#Q285181	eparchy	administrative territorial entity of Greek-Catholic, Orthodox and Eastern Churches
#Q137773	ward of Japan	subdivision of cities designated by government ordinance in Japan
#Q84669937	commune of New Caledonia	
Q63341786	set of physical objects	group of physical objects, sometimes matching, intended to be used or seen together
#Q5549724	administrative territorial entity of Cuba	
Q1497364	building complex	set of related buildings
#Q719987	province of Ecuador	Ecuador's administrative division
#Q546080	administrative territorial entity of New Caledonia	
#Q84823091	region of Ukraine	
#Q49271840	Village-level division of Republic of China	Villages in Taiwan
#Q7930614	village	small settlements and a 4th level administrative subdivisions of Taiwan and historical Chinese states, now divided between urban li and rural cun
#Q3032114	district of Madrid	21 administrative units of Madrid
#Q1065118	district of China	administrative division of the People's Republic of China
Q861184	department of Peru	first level administrative subdivision of Peru
#Q707813	Hanseatic city	city in the Hanseatic League
#Q48336	province of Turkey	first-level administrative division of Turkey
#Q104782082	territory outside RCM	administrative territorial designation in Quebec
#Q85493040	district of Rhineland-Palatinate	type of subdivision of Rhineland-Palatinate, Germany
#Q3348196	oblast of Ukraine	first level administrative division of Ukraine
#Q57315116	municipality of the Republika Srpska	
#Q27676524	parish municipality	type of local municipality in Quebec
#Q19849064	administrative territorial entity of Republika Srpska	
#Q13415371	county of Wyoming	subdivision of Wyoming, United States
#Q11183787	Ortschaft	subdivision of a municipality in Germany, Austria and Switzerland
#Q6644778	village in Saskatchewan	Wikimedia list article
#Q884030	administrative territorial entity of Venezuela	
#Q485258	federative unit of Brazil	administrative entity of Brazil
#Q7897276	unparished area	administrative territorial entity of England
#Q1229454	rione of Rome	traditional administrative division of the city of Rome
##Q618299	settlement	official unit of settlement distribution in Estonia
#Q192299	county of Norway	administrative regions that form the primary first-level subdivisions of Norway
#Q36784	region of France	France top-level territorial subdivision (1956-)
#Q27448	department of Guatemala	departments of Guatemala
#Q62008894	shipping forecast area	
#Q5468163	forecast region	geographic region used in weather forecasting
#Q1185892	geological massif	
#Q1061151	massif	section of a planet's crust that is demarcated by faults or flexures
#Q751708	village in the United States	administrative division at the local government level in the United States
Q190429	depression	landform sunken or depressed below the surrounding area
#Q50201	administrative territorial entity of Cambodia	аdministrative divisions of Cambodia
Q111931734	effect	exercising influence over an entity
#Q17205621	township of Iowa	subdivision of Iowa, United States
#Q16155707	městys	status of certain municipalities in Czechia, corresponding to the former market towns
#Q1006876	borough in the United Kingdom	granted by royal charter to local government districts in England, Wales and Northern Ireland
#Q501094	state of Venezuela	first-level administrative division in Venezuela
Q52948	interaction	kind of action that occurs as two or more objects have an effect upon one another
Q35825432	converter	entity that converts, modifies, or transforms, producing an change of state, observable on the entity itself or on other objects
Q12774177	means	means by which a function is performed
#Q9258947	fjard	glacially formed, broad, shallow inlet
#Q7252589	province of Cambodia	first-level administrative division of Cambodia
#Q3356092	administrative territorial entity of Ireland	
#Q3327874	rural municipality of Canada	type of municipality in Saskatchewan, Manitoba and Prince Edward Island, Canada
#Q2991489	county palatine	territory or jurisdiction of a count palatine. historical country subdivision, the ruler of which was granted an unusual degree of autonomy
#Q2421276	glacial landform	landforms created by the action of glaciers
